PDB code	Chain	Chain length	Molecule Name	Molecule category assigned by KD code	Manual category assigned 
3rzc	C	209	VALPHA14	other	TCR
3rzc	D	241	VBETA8.2	other	TCR
3sda	A	302	ANTIGEN-PRESENTING GLYCOPROTEIN CD1D1	other	MHC
3sdc	A	302	ANTIGEN-PRESENTING GLYCOPROTEIN CD1D1	other	MHC
3ta3	A	285	ANTIGEN-PRESENTING GLYCOPROTEIN CD1D1	other	MHC
3ta3	C	209	"VALPHA14 CHIMERA (MOUSE VARIABLE DOMAIN, HUMAN CONSTANT"	other	TCR
3ta3	D	241	"VBETA8.2 CHIMERA (MOUSE VARIABLE DOMAIN, HUMAN CONSTANT"	other	TCR
3tf7	A	180	H2-LD SBM2	other	MHC
3tf7	C	256	"42F3 MUT7 SCFV (42F3 ALPHA CHAIN, LINKER, 42F3 BETA CHAIN)"	other	TCR
3tf7	E	180	H2-LD SBM2	other	MHC
3tf7	G	256	"42F3 MUT7 SCFV (42F3 ALPHA CHAIN, LINKER, 42F3 BETA CHAIN)"	other	TCR
3tf7	I	256	"42F3 MUT7 SCFV (42F3 ALPHA CHAIN, LINKER, 42F3 BETA CHAIN)"	other	TCR
3tf7	K	256	"42F3 MUT7 SCFV (42F3 ALPHA CHAIN, LINKER, 42F3 BETA CHAIN)"	other	TCR
3tfk	A	180	H2-LD SBM2	other	MHC
3tfk	C	212	42F3 ALPHA	other	TCR
3tfk	D	243	42F3 BETA	other	TCR
3tjh	A	180	H2-LD SBM2	other	MHC
3tjh	C	226	42F3 ALPHA	other	TCR
3tjh	D	254	42F3 BETA	other	TCR
3tpu	A	211	42F3 ALPHA	other	TCR
3tpu	B	243	42F3 BETA	other	TCR
3tpu	C	211	42F3 ALPHA	other	TCR
3tpu	D	243	42F3 BETA	other	TCR
3tpu	E	180	H2-LD SBM2	other	MHC
3tpu	G	211	42F3 ALPHA	other	TCR
3tpu	H	243	42F3 BETA	other	TCR
3tpu	I	180	H2-LD SBM2	other	MHC
3tpu	K	180	H2-LD SBM2	other	MHC
3tpu	M	211	42F3 ALPHA	other	TCR
3tpu	N	243	42F3 BETA	other	TCR
3tpu	Q	180	H2-LD SBM2	other	MHC
3vwk	A	284	ANTIGEN-PRESENTING GLYCOPROTEIN CD1D	other	MHC
4eup	G	206	JKF6 ALPHA CHAIN	other	TCR
4eup	H	243	JKF6 BETA CHAIN	other	TCR
4eup	I	206	JKF6 ALPHA CHAIN	other	TCR
4eup	J	243	JKF6 BETA CHAIN	other	TCR
4euq	G	206	JKF6 ALPHA CHAIN	other	TCR
4euq	H	244	JKF6 BETA CHAIN	other	TCR
4euq	I	206	JKF6 ALPHA CHAIN	other	TCR
4euq	J	244	JKF6 BETA CHAIN	other	TCR
4ftv	D	200	A6 ALPHA CHAIN	other	TCR
4ftv	E	245	A6 BETA CHAIN	other	TCR
4l3e	D	199	DMF5 ALPHA CHAIN	other	TCR
4l3e	E	242	DMF5 BETA CHAIN	other	TCR
4ms8	C	212	42F3 ALPHA	other	TCR
4ms8	D	243	42F3 BETA	other	TCR
4mvb	C	212	42F3 ALPHA VMCH	other	TCR
4mvb	D	243	42F3 BETA VMCH	other	TCR
4mxq	C	212	42F3 ALPHA VMVH CHIMERA	other	TCR
4mxq	D	243	42F3 BETA VMVH CHIMERA	other	TCR
4n0c	C	212	42F3 VMCH ALPHA	other	TCR
4n0c	D	243	42F3 VMCH BETA	other	TCR
4n0c	G	212	42F3 VMCH ALPHA	other	TCR
4n0c	H	243	42F3 VMCH BETA	other	TCR
4n5e	C	212	42F3 ALPHA VMCH	other	TCR
4n5e	D	243	42F3 BETA VMCH	other	TCR
4wo4	A	274	ANTIGEN-PRESENTING GLYCOPROTEIN CD1D	other	MHC
4y16	A	285	ANTIGEN-PRESENTING GLYCOPROTEIN CD1D1	other	MHC
5d2n	C	203	C25 ALPHA	other	TCR
5d2n	D	203	C25 ALPHA	other	TCR
5d2n	E	247	C25 BETA	other	TCR
5d2n	F	247	C25 BETA	other	TCR
5m00	G	205	"PROTEIN TRAV14-1,UNCHARACTERIZED PROTEIN"	other	TCR
6d78	D	200	"DMF5 ALPHA CHAIN,DMF5 ALPHA CHAIN"	other	TCR
6d78	E	243	"DMF5 BETA CHAIN,DMF5 BETA CHAIN"	other	TCR
6l9l	A	175	H2-LD A1A2	other	MHC
6l9l	E	175	H2-LD A1A2	other	MHC
6rsy	D	208	A7B2 ALPHA CHAIN	other	TCR
6rsy	E	245	DMF4 BETA CHAIN	other	TCR
6rsy	I	208	A7B2 ALPHA CHAIN	other	TCR
6rsy	J	245	DMF4 BETA CHAIN	other	TCR
6vmx	D	203	HD14 ALPHA CHAIN	other	TCR
6vmx	E	243	HD14 BETA CHAIN	other	TCR
6vmx	I	203	HD14 ALPHA CHAIN	other	TCR
6vmx	J	243	HD14 BETA CHAIN	other	TCR
7k80	G	299	KILLER CELL IMMUNOGLOBULIN-LIKE RECEPTOR 3DL1	other	other
7k80	H	299	KILLER CELL IMMUNOGLOBULIN-LIKE RECEPTOR 3DL1	other	other
7k81	G	289	KIR3DL1	other	other
3qib	D	270	2B4 BETA CHAIN	other	TCR
4p5t	A	206	TRA PROTEIN	other	TCR
4p5t	E	206	TRA PROTEIN	other	TCR
5ksa	C	206	BEL602 ALPHA TRAV20*01	other	TCR
5ksa	D	243	BEL602 BETA TRBV9*01	other	TCR
6cql	D	205	F24 ALPHA CHAIN	other	TCR
6cql	E	245	F24 BETA CHAIN	other	TCR
6cqn	D	205	F5 ALPHA CHAIN	other	TCR
6cqn	E	245	F5 BETA CHAIN	other	TCR
6cqq	D	205	F24 ALPHA CHAIN	other	TCR
6cqq	E	245	F24 BETA CHAIN	other	TCR
6cqq	I	205	F24 ALPHA CHAIN	other	TCR
6cqq	J	245	F24 BETA CHAIN	other	TCR
6cqr	D	205	F24 ALPHA CHAIN	other	TCR
6cqr	E	245	F24 BETA CHAIN	other	TCR
6cqr	I	205	F24 ALPHA CHAIN	other	TCR
6cqr	J	245	F24 BETA CHAIN	other	TCR
6dfs	D	215	H2-AB1 PROTEIN	other	MHC
6dfw	B	221	H2-AB1 PROTEIN	other	MHC
6dfw	D	221	H2-AB1 PROTEIN	other	MHC
6dfw	E	210	8F10 ALPHA CHAIN	other	TCR
6dfw	F	241	8F10 BETA CHAIN	other	TCR
6dfw	G	210	8F10 ALPHA CHAIN	other	TCR
6dfw	H	241	8F10 BETA CHAIN	other	TCR
6dfx	G	207	T1D3 ALPHA CHAIN	other	TCR
6dfx	H	238	T1D3 BETA CHAIN	other	TCR
6dfx	I	207	T1D3 ALPHA CHAIN	other	TCR
6dfx	J	238	T1D3 BETA CHAIN	other	TCR
